,Query,Results,Page Domain,Rank,In Master List
0,are immigrants more likely to be on welfare,https://cis.org/Report/Welfare-Use-Immigrant-and-Native-Households,cis.org,1,Yes
1,are immigrants more likely to be on welfare,https://cis.org/Report/Cost-Welfare-Use-Immigrant-and-Native-Households,cis.org,2,Yes
2,are immigrants more likely to be on welfare,https://www.vox.com/policy-and-politics/2017/8/4/16094684/trump-immigrants-welfare,vox.com,3,No
3,are immigrants more likely to be on welfare,https://www.usatoday.com/story/news/nation/2015/09/01/immigrant-welfare-use-report/71517072/,usatoday.com,4,No
4,are immigrants more likely to be on welfare,https://fairus.org/issue/workforce-and-economy/immigration-and-welfare,fairus.org,5,Yes
5,are immigrants more likely to be on welfare,https://newrepublic.com/article/122714/immigrants-dont-drain-welfare-they-fund-it,newrepublic.com,6,No
6,are immigrants more likely to be on welfare,https://www.cato.org/blog/cis-exaggerates-cost-immigrant-welfare-use,cato.org,7,No
7,are immigrants more likely to be on welfare,http://www.nationalreview.com/corner/444543/immigration-welfare-media-misleads-washington-post,nationalreview.com,8,No
8,are immigrants more likely to be on welfare,https://www.washingtonpost.com/world/national-security/trump-administration-circulates-more-draft-immigration-restrictions-focusing-on-protecting-us-jobs/2017/01/31/38529236-e741-11e6-80c2-30e57e57e05d_story.html,washingtonpost.com,9,No
9,are immigrants more likely to be on welfare,https://www.brookings.edu/research/welfare-benefits-for-non-citizens/,brookings.edu,10,No
10,are immigrants more likely to be on welfare,https://www.csmonitor.com/USA/Society/2016/0509/Do-immigrants-receive-more-welfare-money-than-natural-born-US-citizens,csmonitor.com,11,No
11,are immigrants more likely to be on welfare,https://www.irp.wisc.edu/publications/focus/pdfs/foc83b.pdf,wisc.edu,12,No
12,are immigrants more likely to be on welfare,https://www.urban.org/sites/default/files/publication/70281/410345-Summary-of-Facts-About-Immigrants-Use-of-Welfare.pdf,urban.org,13,No
13,are immigrants more likely to be on welfare,https://www.urban.org/publications/305184.html,urban.org,14,No
14,are immigrants more likely to be on welfare,http://www.journalnow.com/news/nation_world/trump-considering-order-that-would-target-immigrants-on-welfare-or/article_37c483d2-e751-11e6-815c-fbdda288a07a.html,journalnow.com,15,No
15,are immigrants more likely to be on welfare,https://www.snopes.com/trump-undocumented-immigrants-welfare/,snopes.com,16,No
16,are immigrants more likely to be on welfare,https://sites.hks.harvard.edu/fs/gborjas/publications/popular/NR061697.htm,harvard.edu,17,No
17,are immigrants more likely to be on welfare,https://www.theatlantic.com/business/archive/2017/02/trump-immigrants/515310/,theatlantic.com,18,No
18,are immigrants more likely to be on welfare,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193987/,nih.gov,19,No
19,are immigrants more likely to be on welfare,http://www.independent.co.uk/news/world/americas/donald-trump-executive-order-deportation-immigrants-welfare-a7557476.html,independent.co.uk,20,No
0,are immigrants allowed to vote,https://en.wikipedia.org/wiki/Right_of_foreigners_to_vote_in_the_United_States,wikipedia.org,1,No
1,are immigrants allowed to vote,http://www.newsweek.com/immigrants-are-getting-right-vote-cities-across-america-664467,newsweek.com,2,No
2,are immigrants allowed to vote,http://www.politifact.com/florida/statements/2017/sep/15/adam-putnam/san-francisco-takoma-park-noncitizens-elections/,politifact.com,3,No
3,are immigrants allowed to vote,https://www.thoughtco.com/can-i-vote-1951751,thoughtco.com,4,No
4,are immigrants allowed to vote,https://fairus.org/issue/societal-impact/noncitizens-voting-violations-and-us-elections,fairus.org,5,Yes
5,are immigrants allowed to vote,http://www.foxnews.com/us/2017/09/13/illegal-immigrants-get-ok-to-vote-in-maryland-citys-elections.html,foxnews.com,6,No
6,are immigrants allowed to vote,http://www.foxnews.com/politics/2017/09/16/maryland-city-rescinds-vote-that-allowed-illegal-immigrants-to-ballot-in-local-elections.html,foxnews.com,7,No
7,are immigrants allowed to vote,http://time.com/4859478/immigrant-voters-history/,time.com,8,No
8,are immigrants allowed to vote,http://time.com/4669899/illegal-citizens-voting-trump/,time.com,9,No
9,are immigrants allowed to vote,https://www.washingtontimes.com/news/2016/apr/4/supreme-court-illegals-count-apportionment/,washingtontimes.com,10,No
10,are immigrants allowed to vote,https://thinkprogress.org/college-park-md-local-elections-ffc7accd7ab0/,thinkprogress.org,11,No
11,are immigrants allowed to vote,http://immigration.findlaw.com/visas/immigrants-your-rights-as-a-permanent-resident.html,findlaw.com,12,No
12,are immigrants allowed to vote,http://joshblackman.com/blog/2013/05/09/does-the-u-s-constitution-allow-non-citizens-to-vote/,joshblackman.com,13,No
13,are immigrants allowed to vote,https://www.snopes.com/illegal-immigrants-2008-election/,snopes.com,14,No
14,are immigrants allowed to vote,http://www.latimes.com/opinion/editorials/la-ed-citizenship-voting-20141221-story.html,latimes.com,15,No
15,are immigrants allowed to vote,http://www.baltimoresun.com/news/maryland/politics/blog/bs-md-immigrant-voting-20170805-story.html,baltimoresun.com,16,No
16,are immigrants allowed to vote,https://www.thedailybeast.com/maryland-town-may-let-undocumented-immigrants-vote,thedailybeast.com,17,No
17,are immigrants allowed to vote,http://www.washingtonexaminer.com/college-park-maryland-wont-allow-non-citizens-to-vote-in-local-elections-after-all/article/2634648,washingtonexaminer.com,18,No
18,are immigrants allowed to vote,http://www.telegraph.co.uk/news/0/eligible-vote-uk-general-election/,telegraph.co.uk,19,No
19,are immigrants allowed to vote,http://www.fox5dc.com/news/local-news/not-so-fast-non-us-citizens-in-college-park-will-not-be-allowed-to-vote-after-all,fox5dc.com,20,No
0,cost of illegal immigration,https://fairus.org/issue/publications-resources/fiscal-burden-illegal-immigration-united-states-taxpayers,fairus.org,1,Yes
1,cost of illegal immigration,http://www.washingtonexaminer.com/record-135-billion-a-year-for-illegal-immigration-average-8075-each-25000-in-ny/article/2635757,washingtonexaminer.com,2,No
2,cost of illegal immigration,http://thehill.com/blogs/congress-blog/homeland-security/352869-the-cost-of-illegal-immigration-to-taxpayers-is-growing,thehill.com,3,No
3,cost of illegal immigration,https://www.washingtontimes.com/news/2017/aug/3/illegal-immigrants-cost-taxpayers-750-billion-over/,washingtontimes.com,4,No
4,cost of illegal immigration,http://www.politifact.com/truth-o-meter/statements/2016/sep/01/donald-trump/donald-trump-says-illegal-immigration-costs-113-bi/,politifact.com,5,No
5,cost of illegal immigration,http://www.heritage.org/immigration/report/the-fiscal-cost-unlawful-immigrants-and-amnesty-the-us-taxpayer,heritage.org,6,No
6,cost of illegal immigration,https://cis.org/Report/Deportation-vs-Cost-Letting-Illegal-Immigrants-Stay,cis.org,7,Yes
7,cost of illegal immigration,https://en.wikipedia.org/wiki/Economic_impact_of_illegal_immigrants_in_the_United_States,wikipedia.org,8,No
8,cost of illegal immigration,http://www.theblaze.com/news/2017/09/27/the-cost-of-illegal-immigration-is-at-a-record-high-here-are-the-numbers-you-need-to-know/,theblaze.com,9,No
9,cost of illegal immigration,https://www.us-immigration.com/blog/the-cost-of-illegal-immigration,us-immigration.com,10,No
10,cost of illegal immigration,http://dailycaller.com/2017/09/28/the-total-fiscal-cost-of-illegal-immigration-is-a-staggering-135-billion-report-says/,dailycaller.com,11,No
11,cost of illegal immigration,https://www.usatoday.com/story/opinion/readers/2017/05/06/what-cost-illegal-immigration/101331370/,usatoday.com,12,No
12,cost of illegal immigration,http://www.factcheck.org/2009/04/cost-of-illegal-immigrants/,factcheck.org,13,No
13,cost of illegal immigration,https://www.judicialwatch.org/blog/2017/09/illegal-immigration-costs-u-s-taxpayers-stunning-134-9-billion-year/,judicialwatch.org,14,No
14,cost of illegal immigration,http://www.foxnews.com/politics/2017/09/27/illegal-immigration-costing-record-135-billion-year-study-shows.html,foxnews.com,15,No
15,cost of illegal immigration,http://www.gao.gov/products/HEHS-95-133,gao.gov,16,No
16,cost of illegal immigration,https://www.investors.com/politics/editorials/sorry-but-illegal-aliens-cost-the-u-s-plenty/,investors.com,17,No
17,cost of illegal immigration,http://abcnews.go.com/Business/illegal-immigrants-cost-us-100-billion-year-group/story?id=10699317,go.com,18,No
18,cost of illegal immigration,https://www.hoover.org/research/civic-cost-illegal-immigration,hoover.org,19,No
19,cost of illegal immigration,http://www.dailymail.co.uk/news/article-4926564/Illegal-immigration-costs-taxpayers-135BILLION-year.html,dailymail.co.uk,20,No
0,map of sanctuary cities,https://cis.org/Map-Sanctuary-Cities-Counties-and-States,cis.org,1,Yes
1,map of sanctuary cities,https://cis.org/sites/cis.org/files/Sanctuary-Cities-Map-Full-Screen.html,cis.org,2,Yes
2,map of sanctuary cities,http://www.newsweek.com/here-sanctuary-cities-2017-map-sessions-threatened-funding-574861,newsweek.com,3,No
3,map of sanctuary cities,http://nation.foxnews.com/2016/08/31/map-reveals-over-300-sanctuary-cities-keeping-17000-criminal-illegals-deportation,foxnews.com,4,No
4,map of sanctuary cities,http://www.ojjpac.org/sanctuary-cities-map.asp,ojjpac.org,5,No
5,map of sanctuary cities,http://www.ibtimes.com/sanctuary-cities-2017-map-list-places-protecting-undocumented-immigrants-2481203,ibtimes.com,6,No
6,map of sanctuary cities,https://www.ilrc.org/local-enforcement-map,ilrc.org,7,No
7,map of sanctuary cities,https://www.citylab.com/equity/2016/11/mapping-trumps-coming-war-on-sanctuary-cities/507785/,citylab.com,8,No
8,map of sanctuary cities,https://www.nytimes.com/interactive/2016/09/02/us/sanctuary-cities.html,nytimes.com,9,No
9,map of sanctuary cities,http://www.washingtonexaminer.com/map-over-200-sanctuary-cities-in-32-states-and-dc/article/2567880,washingtonexaminer.com,10,No
10,map of sanctuary cities,https://www.linktank.com/publication/map-sanctuary-cities-counties-and-states,linktank.com,11,No
11,map of sanctuary cities,https://www.pinterest.com/pin/130111876714222454/,pinterest.com,12,No
12,map of sanctuary cities,https://commons.wikimedia.org/wiki/File:Map_of_Sanctuary_Cities_and_Counties_in_the_United_States.svg,wikimedia.org,13,No
13,map of sanctuary cities,https://www.curbed.com/2017/1/25/14383708/trump-sanctuary-cities-executive-order,curbed.com,14,No
14,map of sanctuary cities,https://www.pri.org/interactive/2017/03/mapping-sanctuary/,pri.org,15,No
15,map of sanctuary cities,http://nj1015.com/where-are-new-jerseys-sanctuary-cities-map/,nj1015.com,16,No
16,map of sanctuary cities,http://ijr.com/2015/07/364099-tragic-murder-kate-steinle-americans-rethinking-sanctuary-cities-across-country/,ijr.com,17,No
17,map of sanctuary cities,https://www.metro.us/news/what-is-a-sanctuary-city-and-how-to-find-out-if-you-live-in-one/zsJpko---UmTn9BO45s1Fw,metro.us,18,No
18,map of sanctuary cities,https://www.numbersusa.com/content/learn/national-security/sanctuary-laws.html,numbersusa.com,19,No
0,percentage of immigrants on welfare,https://cis.org/Report/Welfare-Use-Immigrant-and-Native-Households,cis.org,1,Yes
1,percentage of immigrants on welfare,https://newrepublic.com/article/122714/immigrants-dont-drain-welfare-they-fund-it,newrepublic.com,2,No
2,percentage of immigrants on welfare,https://www.usatoday.com/story/news/nation/2015/09/01/immigrant-welfare-use-report/71517072/,usatoday.com,3,No
3,percentage of immigrants on welfare,http://www.nationalreview.com/corner/444543/immigration-welfare-media-misleads-washington-post,nationalreview.com,4,No
4,percentage of immigrants on welfare,http://econofact.org/do-undocumented-immigrants-overuse-government-benefits,econofact.org,5,No
5,percentage of immigrants on welfare,http://www.politifact.com/texas/statements/2016/sep/28/tom-delay/tom-delay-says-most-illegal-immigrants-draw-welfar/,politifact.com,6,No
6,percentage of immigrants on welfare,https://www.csmonitor.com/USA/Society/2016/0509/Do-immigrants-receive-more-welfare-money-than-natural-born-US-citizens,csmonitor.com,7,No
7,percentage of immigrants on welfare,https://www.washingtonpost.com/news/fact-checker/wp/2017/08/04/president-trumps-claim-about-immigrants-immediately-collecting-welfare/,washingtonpost.com,8,No
8,percentage of immigrants on welfare,https://fairus.org/issue/workforce-and-economy/immigration-and-welfare,fairus.org,9,Yes
9,percentage of immigrants on welfare,https://www.migrationpolicy.org/article/immigrants-and-welfare-use,migrationpolicy.org,10,No
10,percentage of immigrants on welfare,https://www.cato.org/blog/cis-exaggerates-cost-immigrant-welfare-use,cato.org,11,No
11,percentage of immigrants on welfare,https://www.cato.org/publications/economic-development-bulletin/poor-immigrants-use-public-benefits-lower-rate-poor,cato.org,12,No
12,percentage of immigrants on welfare,http://www.washingtonexaminer.com/cashing-in-illegal-immigrants-get-1261-more-welfare-than-american-families-5692-vs-4431/article/2590744,washingtonexaminer.com,13,No
13,percentage of immigrants on welfare,http://www.washingtonexaminer.com/51-of-immigrant-households-on-welfare-30-native-americans/article/2571257,washingtonexaminer.com,14,No
14,percentage of immigrants on welfare,http://www.breitbart.com/big-government/2015/09/09/legal-immigrant-households-account-for-75-percent-of-immigrant-welfare-use/,breitbart.com,15,No
15,percentage of immigrants on welfare,https://www.brookings.edu/research/welfare-benefits-for-non-citizens/,brookings.edu,16,No
16,percentage of immigrants on welfare,https://www.huffingtonpost.com/entry/trump-immigration-welfare_us_58938368e4b06f344e409174,huffingtonpost.com,17,No
17,percentage of immigrants on welfare,https://www.quora.com/In-the-US-what-percentage-of-legal-immigrants-are-on-welfare,quora.com,18,No
18,percentage of immigrants on welfare,https://www.theepochtimes.com/harvard-economist-42-percent-of-immigrant-households-on-public-assistance_2220786.html,theepochtimes.com,19,No
19,percentage of immigrants on welfare,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193987/,nih.gov,20,No
0,how do illegal immigrants get welfare,http://www.politifact.com/texas/statements/2016/sep/28/tom-delay/tom-delay-says-most-illegal-immigrants-draw-welfar/,politifact.com,1,No
1,how do illegal immigrants get welfare,http://econofact.org/do-undocumented-immigrants-overuse-government-benefits,econofact.org,2,No
2,how do illegal immigrants get welfare,http://www.washingtonexaminer.com/cashing-in-illegal-immigrants-get-1261-more-welfare-than-american-families-5692-vs-4431/article/2590744,washingtonexaminer.com,3,No
3,how do illegal immigrants get welfare,https://cis.org/Welfare-Use-Immigrant-Households-Children,cis.org,4,Yes
4,how do illegal immigrants get welfare,https://www.snopes.com/trump-undocumented-immigrants-welfare/,snopes.com,5,No
5,how do illegal immigrants get welfare,https://www.nysenate.gov/newsroom/articles/james-l-seward/what-benefits-can-illegal-aliens-receive,nysenate.gov,6,No
6,how do illegal immigrants get welfare,http://www.nationalreview.com/corner/444543/immigration-welfare-media-misleads-washington-post,nationalreview.com,7,No
7,how do illegal immigrants get welfare,http://www.pennlive.com/news/2017/03/can_undocumented_immigrants_qu.html,pennlive.com,8,No
8,how do illegal immigrants get welfare,http://money.cnn.com/2014/11/20/news/economy/immigration-myths/index.html,cnn.com,9,No
9,how do illegal immigrants get welfare,https://fairus.org/issue/workforce-and-economy/immigration-and-welfare,fairus.org,10,Yes
10,how do illegal immigrants get welfare,https://www.washingtonpost.com/news/fact-checker/wp/2017/08/04/president-trumps-claim-about-immigrants-immediately-collecting-welfare/,washingtonpost.com,11,No
11,how do illegal immigrants get welfare,https://www.tolerance.org/classroom-resources/tolerance-lessons/immigration-myths,tolerance.org,12,No
12,how do illegal immigrants get welfare,https://www.brookings.edu/research/welfare-benefits-for-non-citizens/,brookings.edu,13,No
13,how do illegal immigrants get welfare,http://www.gao.gov/products/HEHS-98-30,gao.gov,14,No
14,how do illegal immigrants get welfare,http://www.foxnews.com/politics/2017/08/03/la-made-1-3b-in-illegal-immigrant-welfare-payouts-in-just-2-years.html,foxnews.com,15,No
15,how do illegal immigrants get welfare,http://thelawdictionary.org/article/why-is-it-that-illegal-aliens-get-free-food-stamps-health-insurance-and-pay-no-taxes/,thelawdictionary.org,16,No
16,how do illegal immigrants get welfare,http://www.factcheck.org/2016/09/trump-still-off-on-immigration/,factcheck.org,17,No
17,how do illegal immigrants get welfare,https://www1.nyc.gov/site/hra/about/immigration-faqs.page,nyc.gov,18,No
18,how do illegal immigrants get welfare,https://rationalwiki.org/wiki/Myths_and_facts_about_immigration_to_the_United_States,rationalwiki.org,19,No
0,number of deportations by year,https://cis.org/ICE-deportations-hit-10-yr-low,cis.org,1,Yes
1,number of deportations by year,https://www.migrationpolicy.org/article/obama-record-deportations-deporter-chief-or-not,migrationpolicy.org,2,No
2,number of deportations by year,https://www.ice.gov/removal-statistics/2016,ice.gov,3,No
3,number of deportations by year,https://www.snopes.com/obama-deported-more-people/,snopes.com,4,No
4,number of deportations by year,http://www.pewresearch.org/fact-tank/2017/05/03/key-findings-about-u-s-immigrants/,pewresearch.org,5,No
5,number of deportations by year,http://www.pewresearch.org/fact-tank/2016/12/16/u-s-immigrant-deportations-fall-to-lowest-level-since-2007/,pewresearch.org,6,No
6,number of deportations by year,http://www.pewresearch.org/fact-tank/2016/08/31/u-s-immigrant-deportations-declined-in-2014-but-remain-near-record-high/,pewresearch.org,7,No
7,number of deportations by year,http://www.miamiherald.com/news/local/immigration/article122715474.html,miamiherald.com,8,No
8,number of deportations by year,https://www.washingtonpost.com/news/monkey-cage/wp/2017/05/03/this-is-how-trumps-deportations-differ-from-obamas/,washingtonpost.com,9,No
9,number of deportations by year,http://www.politifact.com/truth-o-meter/statements/2016/oct/21/donald-trump/trump-right-deportation-numbers-wrong-talks-about-/,politifact.com,10,No
10,number of deportations by year,http://www.cnn.com/2017/04/28/politics/trump-deportations-slow/index.html,cnn.com,11,No
11,number of deportations by year,http://abcnews.go.com/Politics/obamas-deportation-policy-numbers/story?id=41715661,go.com,12,No
12,number of deportations by year,http://www.newsweek.com/illegal-immigration-undocumented-migrants-obama-trump-585726,newsweek.com,13,No
13,number of deportations by year,https://www.theatlantic.com/news/archive/2017/05/under-trump-immigrants-arrests-are-up-but-deportation-is-down/527103/,theatlantic.com,14,No
14,number of deportations by year,http://www.breitbart.com/texas/2017/01/12/deportations-hit-10-year-low-obama-prepares-exit/,breitbart.com,15,No
15,number of deportations by year,https://en.wikipedia.org/wiki/Deportation_and_removal_from_the_United_States,wikipedia.org,16,No
16,number of deportations by year,https://www.washingtontimes.com/news/2017/aug/8/donald-trumps-illegal-immigration-numbers-show-maj/,washingtontimes.com,17,No
17,number of deportations by year,https://www.politico.com/story/2017/08/08/trump-deportations-behind-obama-levels-241420,politico.com,18,No
18,number of deportations by year,https://www.huffingtonpost.com/entry/hard-truths-about-obamas-deportation-priorities_us_58b3c9e7e4b0658fc20f979e,huffingtonpost.com,19,No
0,history of us immigration policy,https://cis.org/Historical-Overview-Immigration-Policy,cis.org,1,Yes
1,history of us immigration policy,https://cis.org/Historical-Overview-Immigration-Policy,cis.org,2,Yes
2,history of us immigration policy,https://fairus.org/legislation/reports-and-analysis/history-of-us-immigration-laws,fairus.org,3,Yes
3,history of us immigration policy,https://en.wikipedia.org/wiki/History_of_laws_concerning_immigration_and_naturalization_in_the_United_States,wikipedia.org,4,No
4,history of us immigration policy,https://www.uscis.gov/history-and-genealogy/our-history/agency-history/early-american-immigration-policies,uscis.gov,5,No
5,history of us immigration policy,http://www.pewresearch.org/fact-tank/2015/09/30/how-u-s-immigration-laws-and-rules-have-changed-through-history/,pewresearch.org,6,No
6,history of us immigration policy,http://abcnews.go.com/ABC_Univision/News/23-defining-moments-immigration-policy-history/story?id=17810440,go.com,7,No
7,history of us immigration policy,https://www.americanimmigrationcouncil.org/research/opportunity-and-exclusion-brief-history-us-immigration-policy,americanimmigrationcouncil.org,8,No
8,history of us immigration policy,https://www.theatlantic.com/politics/archive/2017/02/donald-trump-immigration/517119/,theatlantic.com,9,No
9,history of us immigration policy,http://www.history.com/topics/us-immigration-since-1965,history.com,10,Yes
10,history of us immigration policy,https://www.migrationpolicy.org/research/timeline-1790,migrationpolicy.org,11,No
11,history of us immigration policy,https://www.migrationpolicy.org/research/timeline-1790,migrationpolicy.org,12,No
12,history of us immigration policy,https://www.migrationpolicy.org/article/rethinking-last-200-years-us-immigration-policy,migrationpolicy.org,13,No
13,history of us immigration policy,https://networklobby.org/historyimmigration/,networklobby.org,14,No
14,history of us immigration policy,https://www.infoplease.com/us/immigration-legislation,infoplease.com,15,No
15,history of us immigration policy,https://blog.findmypast.com/how-early-us-immigration-law-changed-america-1884855124.html,findmypast.com,16,No
16,history of us immigration policy,http://www.pbs.org/independentlens/newamericans/foreducators_lesson_plan_03.html,pbs.org,17,No
17,history of us immigration policy,http://www.cairco.org/issues/brief-history-us-immigration-policy-and-laws,cairco.org,18,Yes
18,history of us immigration policy,https://lawstreetmedia.com/issues/law-and-politics/ban-history-us-immigration-policy/,lawstreetmedia.com,19,No
0,can illegal aliens get welfare,http://www.politifact.com/texas/statements/2016/sep/28/tom-delay/tom-delay-says-most-illegal-immigrants-draw-welfar/,politifact.com,1,No
1,can illegal aliens get welfare,http://econofact.org/do-undocumented-immigrants-overuse-government-benefits,econofact.org,2,No
2,can illegal aliens get welfare,http://money.cnn.com/2014/11/20/news/economy/immigration-myths/index.html,cnn.com,3,No
3,can illegal aliens get welfare,https://www.snopes.com/trump-undocumented-immigrants-welfare/,snopes.com,4,No
4,can illegal aliens get welfare,https://www.nysenate.gov/newsroom/articles/james-l-seward/what-benefits-can-illegal-aliens-receive,nysenate.gov,5,No
5,can illegal aliens get welfare,http://www.nationalreview.com/corner/444543/immigration-welfare-media-misleads-washington-post,nationalreview.com,6,No
6,can illegal aliens get welfare,https://cis.org/Welfare-Use-Immigrant-Households-Children,cis.org,7,Yes
7,can illegal aliens get welfare,http://www.pennlive.com/news/2017/03/can_undocumented_immigrants_qu.html,pennlive.com,8,No
8,can illegal aliens get welfare,https://fairus.org/issue/workforce-and-economy/immigration-and-welfare,fairus.org,9,Yes
9,can illegal aliens get welfare,https://www.brookings.edu/research/welfare-benefits-for-non-citizens/,brookings.edu,10,No
10,can illegal aliens get welfare,https://www.washingtonpost.com/news/fact-checker/wp/2017/08/04/president-trumps-claim-about-immigrants-immediately-collecting-welfare/,washingtonpost.com,11,No
11,can illegal aliens get welfare,http://www.washingtonexaminer.com/cashing-in-illegal-immigrants-get-1261-more-welfare-than-american-families-5692-vs-4431/article/2590744,washingtonexaminer.com,12,No
12,can illegal aliens get welfare,http://www.gao.gov/products/HEHS-98-30,gao.gov,13,No
13,can illegal aliens get welfare,https://www.tolerance.org/classroom-resources/tolerance-lessons/immigration-myths,tolerance.org,14,No
14,can illegal aliens get welfare,https://www1.nyc.gov/site/hra/about/immigration-faqs.page,nyc.gov,15,No
15,can illegal aliens get welfare,http://www.foxnews.com/politics/2017/08/03/la-made-1-3b-in-illegal-immigrant-welfare-payouts-in-just-2-years.html,foxnews.com,16,No
16,can illegal aliens get welfare,http://thelawdictionary.org/article/why-is-it-that-illegal-aliens-get-free-food-stamps-health-insurance-and-pay-no-taxes/,thelawdictionary.org,17,No
17,can illegal aliens get welfare,https://www.nilc.org/issues/economic-support/overview-immeligfedprograms/,nilc.org,18,No
18,can illegal aliens get welfare,https://www.nbcnews.com/news/latino/opinion-trump-s-immigrant-welfare-restrictions-they-ve-been-around-n790466,nbcnews.com,19,No
0,us citizens losing jobs to immigrants,https://www.nytimes.com/2016/09/22/us/immigrants-arent-taking-americans-jobs-new-study-finds.html,nytimes.com,1,No
1,us citizens losing jobs to immigrants,https://www.brookings.edu/blog/brookings-now/2017/08/24/do-immigrants-steal-jobs-from-american-workers/,brookings.edu,2,No
2,us citizens losing jobs to immigrants,https://www.politico.com/magazine/story/2016/09/trump-clinton-immigration-economy-unemployment-jobs-214216,politico.com,3,No
3,us citizens losing jobs to immigrants,https://immigration.procon.org/view.answers.php?questionID=000852,procon.org,4,No
4,us citizens losing jobs to immigrants,https://cis.org/Immigrant-Gains-and-Native-Losses-Job-Market-2000-2013,cis.org,5,Yes
5,us citizens losing jobs to immigrants,http://www.washingtonexaminer.com/report-immigrant-take-jobs-hours-of-low-skill-americans/article/2601018,washingtonexaminer.com,6,No
6,us citizens losing jobs to immigrants,https://www.npr.org/2017/09/06/548882071/fact-check-are-daca-recipients-stealing-jobs-away-from-other-americans,npr.org,7,No
7,us citizens losing jobs to immigrants,https://www.theatlantic.com/business/archive/2015/01/does-immigration-harm-working-americans/384060/,theatlantic.com,8,No
8,us citizens losing jobs to immigrants,https://www.huffingtonpost.com/judy-frankel/insourcing-american-lose-_b_11173074.html,huffingtonpost.com,9,No
9,us citizens losing jobs to immigrants,http://www.latimes.com/projects/la-fi-farms-immigration/,latimes.com,10,No
10,us citizens losing jobs to immigrants,http://www.latimes.com/projects/la-fi-farms-immigration/,latimes.com,11,No
11,us citizens losing jobs to immigrants,http://www.latimes.com/opinion/topoftheticket/la-na-tt-robots-jobs-20170330-story.html,latimes.com,12,No
12,us citizens losing jobs to immigrants,https://www.theatlantic.com/politics/archive/2015/10/immigrants-arent-stealing-american-jobs/433158/,theatlantic.com,13,No
